ucc,provenance_class,in_published_ce,in_concordance,published_title,concordance_title,elis,dmi_node,ce_source
050110,DIRECT_CONCORDANCE_UCC,true,true,Frankfurters,Frankfurters,FE011,FOOD,D
050210,PUBLISHED_CE_UCC,true,false,"Bologna, liverwurst, and salami",,,,
050310,PUBLISHED_CE_UCC,true,false,Other lunchmeats,,,,
050319,DIRECT_CONCORDANCE_UCC,true,true,Lunchmeats,Lunchmeats,FE012,FOOD,D
050410,PUBLISHED_CE_UCC,true,false,Lamb and organ meats,,,,
050419,DIRECT_CONCORDANCE_UCC,true,true,"Lamb, organ meat, and game","Lamb, Organ Meats, And Game",FE013,FOOD,D
050900,PUBLISHED_CE_UCC,true,false,"Mutton, goat, and game",,,,
060110,PUBLISHED_CE_UCC,true,false,Fresh and frozen whole chickens,,,,
060119,DIRECT_CONCORDANCE_UCC,true,true,Chicken,Chicken,FF011,FOOD,D
060210,PUBLISHED_CE_UCC,true,false,Fresh and frozen chicken parts,,,,
060310,DIRECT_CONCORDANCE_UCC,true,true,Other poultry,Other Poultry,FF021,FOOD,D
070110,PUBLISHED_CE_UCC,true,false,Canned fish and seafood,,,,
070119,DIRECT_CONCORDANCE_UCC,true,true,Processed fish and seafood,Processed Fish And Seafood,FG021,FOOD,D
070230,DIRECT_CONCORDANCE_UCC,true,true,Fresh fish and shellfish,Fresh Fish & Shellfish,FG011,FOOD,D
070240,PUBLISHED_CE_UCC,true,false,Frozen fish and shellfish,,,,
080110,DIRECT_CONCORDANCE_UCC,true,true,Eggs,Eggs,FH011,FOOD,D
090110,DIRECT_CONCORDANCE_UCC,true,true,"Fresh milk, all types",Fresh Milk All Types,FJ011,FOOD,D
090210,PUBLISHED_CE_UCC,true,false,Cream,,,,
100110,PUBLISHED_CE_UCC,true,false,Butter,,,,
100119,DIRECT_CONCORDANCE_UCC,true,true,Butter and margarine,Butter And Margarine,FS011,FOOD,D
100210,DIRECT_CONCORDANCE_UCC,true,true,Cheese,Cheese,FJ021,FOOD,D
100410,DIRECT_CONCORDANCE_UCC,true,true,Ice cream and related products,Ice Cream And Related Products,FJ031,FOOD,D
100510,PUBLISHED_CE_UCC,true,false,Miscellaneous dairy products,,,,
100519,DIRECT_CONCORDANCE_UCC,true,true,Other dairy and related products,Other Dairy And Related Products,FJ041,FOOD,D
110110,DIRECT_CONCORDANCE_UCC,true,true,Apples,Apples,FK011,FOOD,D
110210,DIRECT_CONCORDANCE_UCC,true,true,Bananas,Bananas,FK021,FOOD,D
110310,PUBLISHED_CE_UCC,true,false,Oranges,,,,
110319,DIRECT_CONCORDANCE_UCC,true,true,Citrus fruits,Citrus Fruits,FK031,FOOD,D
110410,DIRECT_CONCORDANCE_UCC,true,true,Other fresh fruits,Other Fresh Fruits,FK041,FOOD,D
110510,PUBLISHED_CE_UCC,true,false,"Citrus fruits, excluding oranges",,,,
120110,DIRECT_CONCORDANCE_UCC,true,true,Potatoes,Potatoes,FL011,FOOD,D
120210,DIRECT_CONCORDANCE_UCC,true,true,Lettuce,Lettuce,FL021,FOOD,D
120310,DIRECT_CONCORDANCE_UCC,true,true,Tomatoes,Tomatoes,FL031,FOOD,D
120410,DIRECT_CONCORDANCE_UCC,true,true,Other fresh vegetables,Other Fresh Vegetables,FL041,FOOD,D
130110,PUBLISHED_CE_UCC,true,false,Frozen orange juice,,,,
130119,DIRECT_CONCORDANCE_UCC,true,true,Frozen noncarbonated juices and drinks,Frozen Noncarbonated Juices And Drinks,FN021,FOOD,D
130121,PUBLISHED_CE_UCC,true,false,Frozen fruits,,,,
130122,PUBLISHED_CE_UCC,true,false,Frozen fruit juices,,,,
130129,DIRECT_CONCORDANCE_UCC,true,true,Frozen fruits and vegetables,Frozen Fruits And Vegetables,FM021,FOOD,D
130211,PUBLISHED_CE_UCC,true,false,Fresh fruit juice,,,,
130212,PUBLISHED_CE_UCC,true,false,Canned and bottled fruit juice,,,,
130310,PUBLISHED_CE_UCC,true,false,Canned fruits,,,,
130320,PUBLISHED_CE_UCC,true,false,Dried fruits,,,,
140110,PUBLISHED_CE_UCC,true,false,Frozen vegetables,,,,
140210,PUBLISHED_CE_UCC,true,false,Canned beans,,,,
140219,DIRECT_CONCORDANCE_UCC,true,true,Canned fruits and vegetables,Canned Fruits And Vegetables,FM011,FOOD,D
140220,PUBLISHED_CE_UCC,true,false,Canned corn,,,,
140230,PUBLISHED_CE_UCC,true,false,Canned miscellaneous vegetables,,,,
140310,PUBLISHED_CE_UCC,true,false,Dried processed vegetables,,,,
140320,PUBLISHED_CE_UCC,true,false,Dried peas,,,,
140330,PUBLISHED_CE_UCC,true,false,Dried beans,,,,
140340,PUBLISHED_CE_UCC,true,false,Dried miscellaneous vegetables,,,,
140349,DIRECT_CONCORDANCE_UCC,true,true,Dried fruits and vegetables,Dried Fruits And Vegetables,FM031,FOOD,D
140410,PUBLISHED_CE_UCC,true,false,Frozen vegetable juices,,,,
140420,PUBLISHED_CE_UCC,true,false,Fresh and canned vegetable juices,,,,
150110,DIRECT_CONCORDANCE_UCC,true,true,Candy and chewing gum,Candy And Chewing Gum,FR021,FOOD,D
150211,PUBLISHED_CE_UCC,true,false,Sugar,,,,
150212,PUBLISHED_CE_UCC,true,false,Artificial sweeteners,,,,
150219,DIRECT_CONCORDANCE_UCC,true,true,Sugar and artificial sweeteners,Sugar And Artificial Sweeteners,FR011,FOOD,D
150310,DIRECT_CONCORDANCE_UCC,true,true,"Jams, preserves, and other sweets",Other Sweets,FR031,FOOD,D
160110,PUBLISHED_CE_UCC,true,false,Margarine,,,,
160211,DIRECT_CONCORDANCE_UCC,true,true,Fats and oils,Fats & Oils,FS032,FOOD,D
160212,DIRECT_CONCORDANCE_UCC,true,true,Salad dressings,Salad Dressings,FS021,FOOD,D
160310,PUBLISHED_CE_UCC,true,false,Nondairy cream and imitation milk,,,,
160320,DIRECT_CONCORDANCE_UCC,true,true,Peanut butter,Peanut Butter,FS031,FOOD,D
170110,DIRECT_CONCORDANCE_UCC,true,true,Cola,Cola Drinks,FN011,FOOD,D
170210,DIRECT_CONCORDANCE_UCC,true,true,Other carbonated drinks,Other Carbonated Drinks,FN011,FOOD,D
170310,PUBLISHED_CE_UCC,true,false,Roasted coffee,,,,
170319,DIRECT_CONCORDANCE_UCC,true,true,Coffee,Coffee,FP011,FOOD,D
170410,PUBLISHED_CE_UCC,true,false,Instant and freeze dried coffee,,,,
170510,PUBLISHED_CE_UCC,true,false,"Noncarbonated fruit flavored drinks, including non-frozen lemonade",,,,
170520,DIRECT_CONCORDANCE_UCC,true,true,Tea,Tea,FP021,FOOD,D
170531,DIRECT_CONCORDANCE_UCC,true,true,Other noncarbonated beverages and ice,Other Noncarb. Beverages/Ice,FP022,FOOD,D
170532,PUBLISHED_CE_UCC,true,false,Bottled water,,,,
170533,PUBLISHED_CE_UCC,true,false,Sports drinks,,,,
170539,DIRECT_CONCORDANCE_UCC,true,true,Nonfrozen noncarbonated juices and drinks,Nonfrozen Noncarbonated Juices An,FN031,FOOD,D
180110,DIRECT_CONCORDANCE_UCC,true,true,Canned and packaged soups,Soup,FT011,FOOD,D
180210,DIRECT_CONCORDANCE_UCC,true,true,Frozen meals,Frozen Meals,FT021,FOOD,D
180220,DIRECT_CONCORDANCE_UCC,true,true,Other frozen prepared foods,Froz/Prep. Food Oth Than Meals,FT021,FOOD,D
180310,DIRECT_CONCORDANCE_UCC,true,true,Potato chips and other snacks,Potato Chips And Other Snacks,FT031,FOOD,D
180320,DIRECT_CONCORDANCE_UCC,true,true,Nuts,Nuts,FT031,FOOD,D
180410,DIRECT_CONCORDANCE_UCC,true,true,"Salt, spices, and other seasonings",Salt/Other Seasonings & Spices,FT041,FOOD,D
180420,DIRECT_CONCORDANCE_UCC,true,true,"Olives, pickles, and relishes","Olives, Pickles, Relishes",FT042,FOOD,D
180510,DIRECT_CONCORDANCE_UCC,true,true,Sauces and gravies,Sauces And Gravies,FT043,FOOD,D
180520,DIRECT_CONCORDANCE_UCC,true,true,Baking needs and miscellaneous products,Other Condiments,FT044,FOOD,D
180611,DIRECT_CONCORDANCE_UCC,true,true,Prepared salads,Prepared Salads,FT061,FOOD,D
180612,DIRECT_CONCORDANCE_UCC,true,true,Prepared desserts,Prepared Desserts,FT062,FOOD,D
180620,DIRECT_CONCORDANCE_UCC,true,true,Baby food,Baby Food,FT051,FOOD,D
180710,DIRECT_CONCORDANCE_UCC,true,true,Miscellaneous prepared foods,Misc. Prepared Foods,FT062,FOOD,D
180720,PUBLISHED_CE_UCC,true,false,Vitamin supplements,,,,
190111,PUBLISHED_CE_UCC,true,false,"Lunch at fast food, carry out, delivery, concession stands, buffets, and cafeterias (other than employer and school cafeteria)",,,,
190112,PUBLISHED_CE_UCC,true,false,Lunch at full service restaurants,,,,
190113,PUBLISHED_CE_UCC,true,false,Lunch at vending machines and mobile vendors,,,,
190114,PUBLISHED_CE_UCC,true,false,Lunch at employer and school cafeterias,,,,
190211,PUBLISHED_CE_UCC,true,false,"Dinner at fast food, carry out, delivery, concession stands, buffets, and cafeterias (other than employer and school cafeteria)",,,,
190212,PUBLISHED_CE_UCC,true,false,Dinner at full service restaurants,,,,
190213,PUBLISHED_CE_UCC,true,false,Dinner at vending machines and mobile vendors,,,,
190214,PUBLISHED_CE_UCC,true,false,Dinner at employer and school cafeterias,,,,
190311,PUBLISHED_CE_UCC,true,false,"Snacks and nonalcoholic beverages at fast food, carry out, delivery, concession stands, buffets and cafeterias (other than employer and school cafeteria)",,,,
190312,PUBLISHED_CE_UCC,true,false,Snacks and nonalcoholic beverages at full service restaurants,,,,
190313,PUBLISHED_CE_UCC,true,false,Snacks and nonalcoholic beverages at vending machines and mobile vendors,,,,
190314,PUBLISHED_CE_UCC,true,false,Snacks and nonalcoholic beverages at employer and school cafeterias,,,,
190321,PUBLISHED_CE_UCC,true,false,"Breakfast and brunch at fast food, carry out, delivery, concession stands, buffets, and cafeterias (other than employer and school cafeteria)",,,,
