population,e_source,e_cpi,delta_scope,rental_equivalence_introduced,owner_outlays_removed_frozen_membership,delta_shelter_frozen_membership,owner_outlays_removed_current_state,delta_shelter_current_state,definition_difference
ALL_CU,6836520.000000,8124511.812994,1287991.812994,2493830.812994,892133.000000,1601697.812994,1091212.000000,1402618.812994,199079.000000
Q1,688872.000000,854361.442108,165489.442108,238213.442108,49260.000000,188953.442108,62744.000000,175469.442108,13484.000000
Q2,959951.000000,1182887.881735,222936.881735,348688.881735,84170.000000,264518.881735,109875.000000,238813.881735,25705.000000
Q3,1223874.000000,1438790.013756,214916.013756,409607.013756,132582.000000,277025.013756,174691.000000,234916.013756,42109.000000
Q4,1572916.000000,1857768.947078,284852.947078,565762.947078,211580.000000,354182.947078,248639.000000,317123.947078,37059.000000
Q5,2390913.000000,2790707.528318,399794.528318,931558.528318,414540.000000,517018.528318,495263.000000,436295.528318,80723.000000
