population,e_source_published_basis,source_retained,source_excluded_effective,source_removed_for_replacement,source_transformed,source_pending,source_open,source_withheld,source_residual,effective_retained,effective_replacement,effective_transformed,e_track_a_effective,effective_residual,excluded_effective_all_rows,pending_all_rows,open_all_rows,withheld_all_rows,delta_scope,published_basis_cells_with_amount,published_basis_cells_without_amount
ALL_CU,6836520.000000,5509878.000000,1148566.000000,0.000000,120803.000000,46322.000000,10951.000000,0.000000,0.000000,5509878.000000,2493830.812994,120803.000000,8124511.812994,0.000000,1148566.000000,148556.815688,10951.000000,665.471372,1287991.812994,318,19
Q1,688872.000000,608613.000000,65580.000000,0.000000,7535.000000,6322.000000,822.000000,0.000000,0.000000,608613.000000,238213.442108,7535.000000,854361.442108,0.000000,65580.000000,11966.978548,822.000000,0.000000,165489.442108,299,38
Q2,959951.000000,822976.000000,116478.000000,0.000000,11223.000000,8082.000000,1192.000000,0.000000,0.000000,822976.000000,348688.881735,11223.000000,1182887.881735,0.000000,116478.000000,19196.301339,1192.000000,9.807815,222936.881735,306,31
Q3,1223874.000000,1010302.000000,184964.000000,0.000000,18881.000000,7908.000000,1819.000000,0.000000,0.000000,1010302.000000,409607.013756,18881.000000,1438790.013756,0.000000,184964.000000,18991.088795,1819.000000,99.075314,214916.013756,304,33
Q4,1572916.000000,1262320.000000,265907.000000,0.000000,29686.000000,12236.000000,2767.000000,0.000000,0.000000,1262320.000000,565762.947078,29686.000000,1857768.947078,0.000000,265907.000000,33184.843428,2767.000000,120.808528,284852.947078,307,30
Q5,2390913.000000,1805671.000000,515637.000000,0.000000,53478.000000,11776.000000,4351.000000,0.000000,0.000000,1805671.000000,931558.528318,53478.000000,2790707.528318,0.000000,515637.000000,65219.603579,4351.000000,435.779715,399794.528318,312,25
