ucc,ucc_title,subcategory_code,domain_label,mapping_status,computation_node,destination_eli_count,destination_elis,destination_nodes,exception_reason,bls_multi_eli_footnote
180320,Nuts,FOODTOTL,Food,DIRECT,FOOD,1,FT031,FOOD,,false
180410,Salt/Other Seasonings & Spices,FOODTOTL,Food,DIRECT,FOOD,1,FT041,FOOD,,false
180420,"Olives, Pickles, Relishes",FOODTOTL,Food,DIRECT,FOOD,1,FT042,FOOD,,false
180510,Sauces And Gravies,FOODTOTL,Food,DIRECT,FOOD,1,FT043,FOOD,,false
180520,Other Condiments,FOODTOTL,Food,DIRECT,FOOD,1,FT044,FOOD,,false
180611,Prepared Salads,FOODTOTL,Food,DIRECT,FOOD,1,FT061,FOOD,,false
180612,Prepared Desserts,FOODTOTL,Food,DIRECT,FOOD,1,FT062,FOOD,,false
180620,Baby Food,FOODTOTL,Food,DIRECT,FOOD,1,FT051,FOOD,,false
180710,Misc. Prepared Foods,FOODTOTL,Food,DIRECT,FOOD,1,FT062,FOOD,,false
190400,Food/Nonalc Bev - Fast Food,FOODTOTL,Food,DIRECT,FOOD,1,FV021,FOOD,,false
190500,Food/Nonalc Bev - Full Service,FOODTOTL,Food,DIRECT,FOOD,1,FV011,FOOD,,false
190600,Food/Nonalc Bev - Vending,FOODTOTL,Food,DIRECT,FOOD,1,FV041,FOOD,,false
190700,Food/Nonalc Bev - Employer,FOODTOTL,Food,DIRECT,FOOD,1,FV031,FOOD,,false
190902,Food And Bev For Catered Affairs,FOODTOTL,Food,DIRECT,FOOD,1,FV051,FOOD,,false
190903,Food on out of town trips,FOODTOTL,Food,UNRESOLVED,,0,,,NO_CONCORDANCE,false
190904,Food prepared by consumer unit on out of town trips,FOODTOTL,Food,UNRESOLVED,,0,,,NO_CONCORDANCE,false
190905,School Meals And Board,FOODTOTL,Food,DIRECT,FOOD,1,FV051,FOOD,,false
200119,"Beer, Ale, And Other Malt Beverag",ALCBEVG,Alcoholic beverages,DIRECT,ALCOHOLIC_BEVERAGES,1,FW011,ALCOHOLIC_BEVERAGES,,false
200219,Distilled Spirits At Home,ALCBEVG,Alcoholic beverages,DIRECT,ALCOHOLIC_BEVERAGES,1,FW021,ALCOHOLIC_BEVERAGES,,false
200310,Wine At Home,ALCBEVG,Alcoholic beverages,DIRECT,ALCOHOLIC_BEVERAGES,1,FW031,ALCOHOLIC_BEVERAGES,,false
200900,Alcoholic beverages purchased on trips,ALCBEVG,Alcoholic beverages,UNRESOLVED,,0,,,NO_CONCORDANCE,false
210110,Rent Of Dwelling,HOUSING,Housing,DIRECT,SHELTER,1,HA011,SHELTER,,false
210210,Lodging Away From Home,HOUSING,Housing,DIRECT,SHELTER,1,HB021,SHELTER,,false
210310,Housing For Someone At School,HOUSING,Housing,DIRECT,SHELTER,1,HB011,SHELTER,,false
210901,Ground rent,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
210902,Ground rent,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
220121,Homeowners Insurance Ownd,HOUSING,Housing,DIRECT,SHELTER,1,HD011,SHELTER,,false
220122,Homeowners insurance,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
220211,Property taxes,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
