ucc,population,ucc_label,ce_stub_parent,domain_label,provenance_class,source_class,amount_source,pumd_membership,pumd_quantitative_usability,cpi_adjustment_status,concordance_elis,dmi_node,m1_mapping_status,source_amount_millions,source_amount_status,source_amount_rse_pct,source_amount_high_rse_flag,governing_rule_id,governing_registry_artifact_id,rule_type,review_status,canonical_rule_state,ucc_rule_role,proposed_track_a_status,effective_track_a_status,rule_blocker_kind,predecessor_rule_id,pending_rule_effect_on_amount,track_a_disposition,retained_amount,excluded_amount,removed_for_replacement_amount,replacement_amount,transformed_amount,pending_amount,open_amount,withheld_amount,replacement_group_id,replacement_role,normalization_state,note
010310,ALL_CU,Rice,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,6332.000000,OBSERVED,4.300000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,6332.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010310,Q1,Rice,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,838.000000,OBSERVED,11.890000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,838.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010310,Q2,Rice,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,1141.000000,OBSERVED,11.780000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1141.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010310,Q3,Rice,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,1375.000000,OBSERVED,8.950000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1375.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010310,Q4,Rice,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,1397.000000,OBSERVED,8.450000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1397.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010310,Q5,Rice,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,1581.000000,OBSERVED,5.880000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1581.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010320,ALL_CU,"Pasta, cornmeal, and other cereal products",FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,8245.000000,OBSERVED,3.050000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,8245.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010320,Q1,"Pasta, cornmeal, and other cereal products",FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,1006.000000,OBSERVED,10.260000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1006.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010320,Q2,"Pasta, cornmeal, and other cereal products",FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,1242.000000,OBSERVED,6.770000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1242.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010320,Q3,"Pasta, cornmeal, and other cereal products",FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,1487.000000,OBSERVED,6.250000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1487.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010320,Q4,"Pasta, cornmeal, and other cereal products",FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,1860.000000,OBSERVED,5.490000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1860.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
010320,Q5,"Pasta, cornmeal, and other cereal products",FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FA031,FOOD,DIRECT,2651.000000,OBSERVED,5.540000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,2651.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020219,ALL_CU,Bread,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB011,FOOD,DIRECT,17821.000000,OBSERVED,2.680000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,17821.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020219,Q1,Bread,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB011,FOOD,DIRECT,2403.000000,OBSERVED,7.300000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,2403.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
