ucc,population,cell_status,unweighted_record_count,reporting_consumer_units,weighted_population,annual_mean_per_consumer_unit,annual_aggregate_dollars,annual_aggregate_millions,standard_error,relative_standard_error_pct,interval_low,interval_high,replicate_min,replicate_max,replicates_at_zero,high_rse_informational_flag
910101,Q3,ESTIMATED,191,71,26661996.634,33.479207,892622492.189379,892.622492,7.625072,22.775546,18.534340,48.424073,14.855692,47.274925,0,false
910101,Q4,ESTIMATED,357,125,27208285.015,69.956390,1903393395.600439,1903.393396,12.095767,17.290440,46.249121,93.663658,48.937473,109.270868,0,false
910101,Q5,ESTIMATED,673,233,27617522.333,152.322667,4206774660.330025,4206.774660,18.944737,12.437241,115.191666,189.453669,123.570848,211.134762,0,false
910102,ALL_CU,ESTIMATED,233,79,135760053.150,18.347859,2490906300.380681,2490.906300,5.158533,28.115178,8.237320,28.458398,6.437060,29.314541,0,true
910102,Q1,ESTIMATED,15,6,27075184.406,3.809055,103130863.403429,103.130863,2.247647,59.007991,-0.596252,8.214362,0.000000,7.913283,6,true
910102,Q2,ESTIMATED,30,8,27197064.763,9.760472,265456199.994644,265.456200,5.475467,56.098385,-0.971246,20.492191,0.000000,19.809435,2,true
910102,Q3,ESTIMATED,39,12,26661996.634,11.067264,295075361.751894,295.075362,4.977618,44.976044,1.311313,20.823215,2.072765,21.254752,0,true
910102,Q4,ESTIMATED,67,22,27208285.015,35.758364,972923759.265797,972.923759,17.754125,49.650273,0.960918,70.555810,7.759046,68.375932,0,true
910102,Q5,ESTIMATED,82,31,27617522.333,30.933988,854320115.964916,854.320116,7.892383,25.513627,15.465203,46.402774,11.761822,47.379199,0,true
910103,ALL_CU,ESTIMATED,708,233,135760053.150,1211.269891,164442064797.144470,164442.064797,200.990440,16.593366,817.335867,1605.203915,689.308080,1608.372758,0,false
910103,Q1,ESTIMATED,41,14,27075184.406,273.052317,7392941825.483183,7392.941825,78.891911,28.892599,118.427013,427.677620,123.393502,415.213328,0,true
910103,Q2,ESTIMATED,65,25,27197064.763,310.256227,8438058690.607214,8438.058691,93.788316,30.229310,126.434505,494.077948,112.646963,533.154293,0,true
910103,Q3,ESTIMATED,97,33,26661996.634,714.473563,19049291742.563236,19049.291743,282.690746,39.566299,160.409882,1268.537245,109.558791,1191.535958,0,true
910103,Q4,ESTIMATED,198,55,27208285.015,1509.187946,41062415776.338280,41062.415776,377.103418,24.987174,770.078828,2248.297064,837.700857,2113.188418,0,false
910103,Q5,ESTIMATED,307,106,27617522.333,3204.464024,88499356762.152496,88499.356762,674.955565,21.062978,1881.575426,4527.352623,1334.902719,4545.969598,0,false
