ucc	eli	ucc_title	eli_title	ce_source	multi_eli_footnote
550219	MF021	Vitamins And Supplements	Nonprescription Drugs	D	false
550310	MF021	Topicals And Dressings	Nonprescription Drugs	D	true
550310	MG011	Topicals And Dressings	Dressings And First Aid Kits	D	true
550340	MC041	Hearing Aids	Services By Other Medical Professionals	I	false
550350	MG012	Purch/Rental Support Med Equip	Medical Equipment For General Use	I	true
550350	MG013	Purch/Rental Support Med Equip	Supportive And Convalescent Medical Equipment	I	true
550350	MG090	Purch/Rental Support Med Equip	Unsampled Rent Or Repair Of Medical Equipment	I	true
560110	MC011	Physicians Services	Physicians' Services	I	false
560210	MC021	Dental Services	Dental Services	I	false
560310	MC031	Eyecare Services	Eyeglasses And Eyecare	I	false
560330	MC041	Lab Tests, X-Rays	Services By Other Medical Professionals	I	false
560410	MD031	Non Physcns Servc Inside Home	Home Health Care	I	false
560420	MC041	Non Physcns Servc Outside Home	Services By Other Medical Professionals	I	false
570111	MD011	Hospital Rooms & Services	Hospital Services	I	false
570220	MD021	Care In Convl Or Nursing Home	Nursing And Convalescent Home Care	I	false
570230	MD011	Other Medical Care Service	Hospital Services	D	false
570901	MG090	Rental Of Medical/Surgical Equip	Unsampled Rent Or Repair Of Medical Equipment	I	false
570902	MG090	Repair Of Medical Equipment	Unsampled Rent Or Repair Of Medical Equipment	D	false
570903	MG090	Rental Of Suportive/Conval Equip	Unsampled Rent Or Repair Of Medical Equipment	I	false
580115	MC011	Fee For Serv Hlth Pln (No Bcbs)	Physicians' Services	I	true
580115	MC021	Fee For Serv Hlth Pln (No Bcbs)	Dental Services	I	true
580115	MC031	Fee For Serv Hlth Pln (No Bcbs)	Eyeglasses And Eyecare	I	true
580115	MC041	Fee For Serv Hlth Pln (No Bcbs)	Services By Other Medical Professionals	I	true
580115	MD011	Fee For Serv Hlth Pln (No Bcbs)	Hospital Services	I	true
580115	MD021	Fee For Serv Hlth Pln (No Bcbs)	Nursing And Convalescent Home Care	I	true
580115	MD031	Fee For Serv Hlth Pln (No Bcbs)	Home Health Care	I	true
580115	ME011	Fee For Serv Hlth Pln (No Bcbs)	Commercial Health Insurance, Retained Earnings	I	true
580115	MF011	Fee For Serv Hlth Pln (No Bcbs)	Prescription Drugs	I	true
580115	MG013	Fee For Serv Hlth Pln (No Bcbs)	Supportive And Convalescent Medical Equipment	I	true
580116	MC011	Fee For Serv Hlth Pln (Bcbs)	Physicians' Services	I	true
580116	MC021	Fee For Serv Hlth Pln (Bcbs)	Dental Services	I	true
580116	MC031	Fee For Serv Hlth Pln (Bcbs)	Eyeglasses And Eyecare	I	true
580116	MC041	Fee For Serv Hlth Pln (Bcbs)	Services By Other Medical Professionals	I	true
580116	MD011	Fee For Serv Hlth Pln (Bcbs)	Hospital Services	I	true
580116	MD021	Fee For Serv Hlth Pln (Bcbs)	Nursing And Convalescent Home Care	I	true
580116	MD031	Fee For Serv Hlth Pln (Bcbs)	Home Health Care	I	true
580116	ME011	Fee For Serv Hlth Pln (Bcbs)	Commercial Health Insurance, Retained Earnings	I	true
580116	MF011	Fee For Serv Hlth Pln (Bcbs)	Prescription Drugs	I	true
580116	MG013	Fee For Serv Hlth Pln (Bcbs)	Supportive And Convalescent Medical Equipment	I	true
580311	MC011	Hlth Maint. Org (No Bcbs)	Physicians' Services	I	true
580311	MC021	Hlth Maint. Org (No Bcbs)	Dental Services	I	true
580311	MC031	Hlth Maint. Org (No Bcbs)	Eyeglasses And Eyecare	I	true
580311	MC041	Hlth Maint. Org (No Bcbs)	Services By Other Medical Professionals	I	true
580311	MD011	Hlth Maint. Org (No Bcbs)	Hospital Services	I	true
580311	MD021	Hlth Maint. Org (No Bcbs)	Nursing And Convalescent Home Care	I	true
580311	MD031	Hlth Maint. Org (No Bcbs)	Home Health Care	I	true
580311	ME011	Hlth Maint. Org (No Bcbs)	Commercial Health Insurance, Retained Earnings	I	true
580311	MF011	Hlth Maint. Org (No Bcbs)	Prescription Drugs	I	true
580311	MG013	Hlth Maint. Org (No Bcbs)	Supportive And Convalescent Medical Equipment	I	true
580312	MC011	Hlth Maint. Org (Bcbs)	Physicians' Services	I	true
580312	MC021	Hlth Maint. Org (Bcbs)	Dental Services	I	true
580312	MC031	Hlth Maint. Org (Bcbs)	Eyeglasses And Eyecare	I	true
580312	MC041	Hlth Maint. Org (Bcbs)	Services By Other Medical Professionals	I	true
580312	MD011	Hlth Maint. Org (Bcbs)	Hospital Services	I	true
580312	MD021	Hlth Maint. Org (Bcbs)	Nursing And Convalescent Home Care	I	true
580312	MD031	Hlth Maint. Org (Bcbs)	Home Health Care	I	true
580312	ME011	Hlth Maint. Org (Bcbs)	Commercial Health Insurance, Retained Earnings	I	true
580312	MF011	Hlth Maint. Org (Bcbs)	Prescription Drugs	I	true
580312	MG013	Hlth Maint. Org (Bcbs)	Supportive And Convalescent Medical Equipment	I	true
580401	MC041	Long Term Care Ins (No Bcbs)	Services By Other Medical Professionals	I	true
580401	MD021	Long Term Care Ins (No Bcbs)	Nursing And Convalescent Home Care	I	true
580401	MD022	Long Term Care Ins (No Bcbs)	Adult Day Care	I	true
580401	MD031	Long Term Care Ins (No Bcbs)	Home Health Care	I	true
580401	ME041	Long Term Care Ins (No Bcbs)	Medicare And Commercial Medicare Supplements, Retained Earnings	I	true
580402	MC041	Long Term Care Ins (Bcbs)	Services By Other Medical Professionals	I	true
580402	MD021	Long Term Care Ins (Bcbs)	Nursing And Convalescent Home Care	I	true
580402	MD022	Long Term Care Ins (Bcbs)	Adult Day Care	I	true
580402	MD031	Long Term Care Ins (Bcbs)	Home Health Care	I	true
580402	ME041	Long Term Care Ins (Bcbs)	Medicare And Commercial Medicare Supplements, Retained Earnings	I	true
580411	MC021	Long Term Care Ins (Bcbs)	Dental Services	I	true
580411	ME011	Long Term Care Ins (Bcbs)	Commercial Health Insurance, Retained Earnings	I	true
580412	MC021	Dental Care Ins (Bcbs)	Dental Services	I	true
580412	ME011	Dental Care Ins (Bcbs)	Commercial Health Insurance, Retained Earnings	I	true
580421	ME011	Prescript Drug Ins (No Bcbs)	Commercial Health Insurance, Retained Earnings	I	true
580421	MF011	Prescript Drug Ins (No Bcbs)	Prescription Drugs	I	true
580422	ME011	Prescript Drug Ins (Bcbs)	Commercial Health Insurance, Retained Earnings	I	true
580422	MF011	Prescript Drug Ins (Bcbs)	Prescription Drugs	I	true
580431	MC031	Vision Care Ins (No Bcbs)	Eyeglasses And Eyecare	I	true
580431	ME011	Vision Care Ins (No Bcbs)	Commercial Health Insurance, Retained Earnings	I	true
580432	MC031	Vision Care Ins (Bcbs)	Eyeglasses And Eyecare	I	true
580432	ME011	Vision Care Ins (Bcbs)	Commercial Health Insurance, Retained Earnings	I	true
580441	MC011	Oth Sngle Srvc Ins (No Bcbs)	Physicians' Services	I	true
580441	MC021	Oth Sngle Srvc Ins (No Bcbs)	Dental Services	I	true
580441	MC031	Oth Sngle Srvc Ins (No Bcbs)	Eyeglasses And Eyecare	I	true
580441	MC041	Oth Sngle Srvc Ins (No Bcbs)	Services By Other Medical Professionals	I	true
580441	MD011	Oth Sngle Srvc Ins (No Bcbs)	Hospital Services	I	true
580441	MD021	Oth Sngle Srvc Ins (No Bcbs)	Nursing And Convalescent Home Care	I	true
580441	MD031	Oth Sngle Srvc Ins (No Bcbs)	Home Health Care	I	true
580441	ME011	Oth Sngle Srvc Ins (No Bcbs)	Commercial Health Insurance, Retained Earnings	I	true
580441	MF011	Oth Sngle Srvc Ins (No Bcbs)	Prescription Drugs	I	true
580441	MG013	Oth Sngle Srvc Ins (No Bcbs)	Supportive And Convalescent Medical Equipment	I	true
580442	MC011	Oth Sngle Srvc Ins (Bcbs)	Physicians' Services	I	true
580442	MC021	Oth Sngle Srvc Ins (Bcbs)	Dental Services	I	true
580442	MC031	Oth Sngle Srvc Ins (Bcbs)	Eyeglasses And Eyecare	I	true
580442	MC041	Oth Sngle Srvc Ins (Bcbs)	Services By Other Medical Professionals	I	true
580442	MD011	Oth Sngle Srvc Ins (Bcbs)	Hospital Services	I	true
580442	MD021	Oth Sngle Srvc Ins (Bcbs)	Nursing And Convalescent Home Care	I	true
580442	MD031	Oth Sngle Srvc Ins (Bcbs)	Home Health Care	I	true
580442	ME011	Oth Sngle Srvc Ins (Bcbs)	Commercial Health Insurance, Retained Earnings	I	true
580442	MF011	Oth Sngle Srvc Ins (Bcbs)	Prescription Drugs	I	true
580442	MG013	Oth Sngle Srvc Ins (Bcbs)	Supportive And Convalescent Medical Equipment	I	true
580901	MC011	Medicare Payments	Physicians' Services	I	true
580901	MC021	Medicare Payments	Dental Services	I	true
580901	MC031	Medicare Payments	Eyeglasses And Eyecare	I	true
580901	MC041	Medicare Payments	Services By Other Medical Professionals	I	true
580901	MD011	Medicare Payments	Hospital Services	I	true
580901	MD021	Medicare Payments	Nursing And Convalescent Home Care	I	true
580901	MD031	Medicare Payments	Home Health Care	I	true
580901	ME011	Medicare Payments	Commercial Health Insurance, Retained Earnings	I	true
580901	MF011	Medicare Payments	Prescription Drugs	I	true
580901	MG013	Medicare Payments	Supportive And Convalescent Medical Equipment	I	true
580903	MC011	Coml Medicare Supplemnt (No Bcbs)	Physicians' Services	I	true
580903	MC021	Coml Medicare Supplemnt (No Bcbs)	Dental Services	I	true
580903	MC031	Coml Medicare Supplemnt (No Bcbs)	Eyeglasses And Eyecare	I	true
580903	MC041	Coml Medicare Supplemnt (No Bcbs)	Services By Other Medical Professionals	I	true
580903	MD011	Coml Medicare Supplemnt (No Bcbs)	Hospital Services	I	true
580903	MD021	Coml Medicare Supplemnt (No Bcbs)	Nursing And Convalescent Home Care	I	true
580903	MD031	Coml Medicare Supplemnt (No Bcbs)	Home Health Care	I	true
580903	ME011	Coml Medicare Supplemnt (No Bcbs)	Commercial Health Insurance, Retained Earnings	I	true
580903	MF011	Coml Medicare Supplemnt (No Bcbs)	Prescription Drugs	I	true
580903	MG013	Coml Medicare Supplemnt (No Bcbs)	Supportive And Convalescent Medical Equipment	I	true
580904	MC011	Coml Medicare Supplement (Bcbs)	Physicians' Services	I	true
580904	MC021	Coml Medicare Supplement (Bcbs)	Dental Services	I	true
580904	MC031	Coml Medicare Supplement (Bcbs)	Eyeglasses And Eyecare	I	true
580904	MC041	Coml Medicare Supplement (Bcbs)	Services By Other Medical Professionals	I	true
580904	MD011	Coml Medicare Supplement (Bcbs)	Hospital Services	I	true
580904	MD021	Coml Medicare Supplement (Bcbs)	Nursing And Convalescent Home Care	I	true
580904	MD031	Coml Medicare Supplement (Bcbs)	Home Health Care	I	true
580904	ME011	Coml Medicare Supplement (Bcbs)	Commercial Health Insurance, Retained Earnings	I	true
580904	MF011	Coml Medicare Supplement (Bcbs)	Prescription Drugs	I	true
580904	MG013	Coml Medicare Supplement (Bcbs)	Supportive And Convalescent Medical Equipment	I	true
580907	ME041	Medicare Pres. Drug Premiums	Medicare And Commercial Medicare Supplements, Retained Earnings	I	true
580907	MF011	Medicare Pres. Drug Premiums	Prescription Drugs	I	true
590230	RG022	Books, Digital Books, Book Subscr	Books Purchased At Retail Outlets Other Than Book Clubs	I	false
590310	RG012	Magazine/Newspaper Subscription	Subscriptions To Newspapers And Magazines	I	false
590410	RG011	Magazine/Newspaper Single Copy	Single Copy Newspapers And Magazines	I	false
590900	RG090	Newsletters	Unsampled Recreational Reading Materials	D	false
600110	RC011	Outboard Motor	Outboard Motors And Powered Sports Vehicles	I	false
600121	RC012	Boat W/O Motor/Boat Trailers	Unpowered Boats And Trailers	I	false
600122	RC012	Trail/Oth Attachable Campers	Unpowered Boats And Trailers	I	false
600132	RC011	Purchase Of Boat With Motor	Outboard Motors And Powered Sports Vehicles	I	false
600133	RC011	Purchase of Boats/Trailers	Outboard Motors And Powered Sports Vehicles	I	true
600133	RC012	Purchase of Boats/Trailers	Unpowered Boats And Trailers	I	true
600141	TA090	Purchase Of Motor Home	Unsampled New And Used Motor Vehicles	I	false
600142	RC011	Purchase Of Other Vehicle	Outboard Motors And Powered Sports Vehicles	I	false
600151	RC012	Purch Motor Home/Camper, fin.	Unpowered Boats And Trailers	I	true
600151	TA090	Purch Motor Home/Camper, fin.	Unsampled New And Used Motor Vehicles	I	true
600153	TA090	Trade Allow Motor Home/Camper	Unsampled New And Used Motor Vehicles	I	false
600210	RC021	General Sport/Excercise Equip	General Sports Equipment Excluding Water	I	false
600310	RC013	Bicycles	Bicycles And Accessories	I	false
600311	TG031	Bike-Sharing/E-Scooters	Intracity Mass Transit	I	false
600410	RC023	Camping Equipment	Hunting, Fishing And Camping Gear	D	false
600420	RC023	Hunting, Fishing Equipment	Hunting, Fishing And Camping Gear	D	false
600430	RC021	Winter Sport Equipment	General Sports Equipment Excluding Water	I	false
600901	RC022	Water Sport Equipment	Water Sports Equipment	I	false
600902	RC021	Other Sport Equipment	General Sports Equipment Excluding Water	I	false
600903	EE042	Global Positioning System Device	Calculators,Typewriters,& Other Information Processing Equipment	D	false
610110	RE011	Toys Games Arts Crafts Tricycles	Toys, Games, Hobbies, And Playground Equipment	D	false
610120	RE011	Playground Equipment	Toys, Games, Hobbies, And Playground Equipment	I	false
610130	RE031	Music Instruments/Accessories	Music Instruments And Accessories	I	false
610210	RD011	Film	Film And Photographic Supplies	I	false
610220	RD011	Other Photographic Supplies	Film And Photographic Supplies	D	false
610230	RD012	Photographic Equipment	Photographic Equipment	I	false
610310	RB011	Pet Food	Pet Food	D	false
610320	RB012	Pet-Purchase/Supplies/Medicine	Purchase Of Pets, Pet Supplies, Accessories	I	false
610901	RE090	Fireworks	Unsampled Recreational Goods	D	false
610902	RE090	Souvenirs	Unsampled Recreational Goods	D	false
610903	RE090	Visual Goods	Unsampled Recreational Goods	D	false
620111	RF011	Social/Recre/Civic Club Membrshp	Club Dues And Fees For Participant Sports/Group Exercises	I	false
620112	GD051	Credit Card Memberships	Checking Account And Other Bank Services	I	false
620114	TF032	Auto Service Clubs/Gps Services	Automobile Service Clubs	I	false
620115	RF011	Shopping Club Memb Fees	Club Dues And Fees For Participant Sports/Group Exercises	I	false
620121	RF011	Fees For Participant Sports	Club Dues And Fees For Participant Sports/Group Exercises	D	false
620122	RF011	Partic. Sports Out-Of-Town Tri	Club Dues And Fees For Participant Sports/Group Exercises	I	false
620212	RF021	Movie, Oth Adm. Out-Of-Town	Admission To Movies, Theaters, Concerts & Other Recurring Events	I	false
620213	RF021	Tkts To Play/Theatr/Opera/Concert	Admission To Movies, Theaters, Concerts & Other Recurring Events	I	false
620215	RF021	Tickets To Movies	Admission To Movies, Theaters, Concerts & Other Recurring Events	I	false
620216	RF021	Tkts To Parks Or Museums	Admission To Movies, Theaters, Concerts & Other Recurring Events	I	false
620221	RF022	Admission To Sporting Events	Admission To Sporting Events	I	false
620222	RF022	Adm To Sprts Events Out-Of-Tow	Admission To Sporting Events	I	false
620310	RF031	Fees For Recreational Lessons	Fees For Lessons Or Instructions	I	false
620320	RD021	Photographer Fees	Photographer's Fees	I	false
620330	RD022	Film Processing	Photo Processing and Printing Services	I	false
620410	RB021	Pet Services	Pet Services	I	false
620420	RB022	Vet Services	Veterinarian Services	D	false
620510	RF021	Admissions Misc	Admission To Movies, Theaters, Concerts & Other Recurring Events	D	false
620610	RF090	Misc. Entertainment Services	Unsampled Recreation Services	D	false
620710	RF090	Camp Fees	Unsampled Recreation Services	D	false
620810	RF090	Ren/Rep Sp/Phot/Equp/Passp	Unsampled Recreation Services	D	false
620903	RF090	Oth Ent Serv, Out-Of-Town Trip	Unsampled Recreation Services	I	false
620904	RE090	Rent/Rep Music Instruments	Unsampled Recreational Goods	I	false
620905	RD090	Rent/Rep Photo Equip	Unsampled Photography	I	false
620906	RC090	Rental Of Boat	Unsampled Sporting Goods	I	false
620908	RC090	Rent/Repair Of Misc Sports Equ	Unsampled Sporting Goods	I	false
620909	TA090	Rental Camper On Trips	Unsampled New And Used Motor Vehicles	I	false
620910	RC090	Rental of Boats and Trailers	Unsampled Sporting Goods	I	true
620910	TA090	Rental of Boats and Trailers	Unsampled New And Used Motor Vehicles	I	true
620912	RA042	Rntl Video Cass/Tapes/Discs/Films	Rental Of Video Discs And Other Media	D	false
620913	RF090	Pinball/Electronic Video Games	Unsampled Recreation Services	D	false
620915	RF090	Sport Veh Rental	Unsampled Recreation Services	D	false
620917	RE090	Rental Of Video Hardwr/Accessor	Unsampled Recreational Goods	I	false
620918	RA042	Rental Of Video Software	Rental Of Video Discs And Other Media	I	false
620919	TA090	Rental Other Vehicles On Trips	Unsampled New And Used Motor Vehicles	I	false
620921	TA090	Rental Of Motor Home	Unsampled New And Used Motor Vehicles	I	false
620922	TA090	Rental Of Other Rvs	Unsampled New And Used Motor Vehicles	I	false
620924	TA090	Rental RVs, Camper, Other Vehicle	Unsampled New And Used Motor Vehicles	I	false
620930	RF011	Online Gaming Services	Club Dues And Fees For Participant Sports/Group Exercises	D	false
630110	GA011	Cigarettes	Cigarettes	I	false
630210	GA021	Other Tobacco Products	Tobacco Products Other Than Cigarettes	I	false
630220	GA090	Smoking Accessories	Unsampled Tobacco And Smoking Products	D	false
640119	GB011	Products For The Hair	Products For The Hair	D	false
640130	GB090	Wigs And Hairpieces	Unsampled Personal Care Products	I	false
640219	GB012	Nonelectric Dental And Shaving Pr	Nonelectric Dental And Shaving Products	D	false
640310	GB021	Cosmetics, Perfume, Bath Prep	Cosmetics/Perfume/Bath/Nail Preparations And Implements	D	false
640410	GB013	Deod,Fem Hyg, Misc. Pers. Care	Deodorant, Suntan, Sanitary & Footcare Products	D	false
640420	GB014	Electric Personal Care Appliances	Electric Personal Care Appliances	I	false
640430	GB013	Adult Diapers	Deodorant, Suntan, Sanitary & Footcare Products	D	false
650310	GC011	Pers. Care Serv.	Haircuts And Other Personal Care Services	I	false
650900	GB090	Repair Of Pers. Care App.	Unsampled Personal Care Products	D	false
660001	EA011	Educational Books/Supl/Oth Exp	Educational Books	I	true
660001	EA012	Educational Books/Supl/Oth Exp	Elementary And High School Books And Supplies	I	true
660001	EA090	Educational Books/Supl/Oth Exp	Unsampled Educational Books And Supplies	I	true
660001	EB090	Educational Books/Supl/Oth Exp	Unsampled Tuition, Other School Fees, And Childcare	I	true
670110	EB011	College Tuition	College Tuition And Fixed Fees	I	false
670210	EB021	Elem./H.S. Tuition	Elementary And High School Tuition And Fixed Fees	I	false
670320	EB031	Babysit/Chldcare/Daycare/Prsch	Day Care And Preschool	I	false
670410	EB041	Voc/ Tech School Tuition	Technical and vocational school tuition and fixed fees	I	false
670903	EB090	Test Prep/Tutoring Services	Unsampled Tuition, Other School Fees, And Childcare	I	false
680110	GD011	Legal Fees	Legal Services	I	false
680140	GD021	Funeral Expense	Funeral and burial services	I	false
680210	GD051	Safe Deposit Box Rental	Checking Account And Other Bank Services	I	false
680220	GD051	Check Accts / Oth Bank Serv Chgs	Checking Account And Other Bank Services	I	false
680320	FV051	Rental Of Party Supp Cat Affairs	Board, Catered Events, And Other Food Away From Home	I	false
680901	GD021	Cemetery Lots,Vaults,Maint Fees	Funeral and burial services	I	false
680902	GD052	Accounting Fees	Tax Return Preparation And Other Accounting Fees	I	false
680903	GD090	Misc. Pers. Services	Unsampled Items	D	false
680904	GD090	Dating Services	Unsampled Items	I	false
680905	RF011	Vacation Clubs	Club Dues And Fees For Participant Sports/Group Exercises	I	false
690111	EE011	Compter/Compter Hrdwar N-Bus Use	Personal Computers And Peripheral Equipment	I	false
690113	EE090	Repair-Cmptr,Cmptr Sys N-B	Unsampled Information And Information Processing	I	false
690114	EE031	Computer Information Services	Internet Access And Other Information Services	I	false
690116	EE031	Internet Services Away From Home	Internet Access And Other Information Services	I	false
690117	EE021	Portable Memory	Computer Software And Blank Media	I	false
690118	EE011	Digital Book Readers	Personal Computers And Peripheral Equipment	I	false
690119	EE021	Computer Software	Computer Software And Blank Media	I	false
690120	EE011	Computer Accessories	Personal Computers And Peripheral Equipment	D	false
690230	EE042	Typwrits/Oth Off Mach Non-Bus Use	Calculators,Typewriters,& Other Information Processing Equipment	I	false
690244	HK023	Oth Hh Appl Rntr	Other Electric Appliances	I	false
690245	HK023	Oth Hh Appl Ownd	Other Electric Appliances	I	false
690310	EE011	Installation For Computers	Personal Computers And Peripheral Equipment	I	false
690320	RA011	Installation For Tvs	Televisions	I	false
690330	RA031	Installation Satellite Tv Equip	Other Video Equipment	I	false
690340	RA051	Installation Of Sound Systems	Audio Media Players, Recorders, Systems, And Other Equipment	I	false
690350	RA031	Install Of Other Video/Sound Syst	Other Video Equipment	I	false
790420	FX011	Alcohol At Restaurants Etc	Alcoholic Beverages Away From Home	D	false
800700	FV051	Meals As Pay	Board, Catered Events, And Other Food Away From Home	I	false
800710	HA011	Rent As Pay	Rent Of Primary Residence	I	false
860405	TA090	Disp Camp/Motor Home/RV	Unsampled New And Used Motor Vehicles	I	false
860701	RC011	Disp Rrailer/Boat	Outboard Motors And Powered Sports Vehicles	I	false
910104	HC011	Rental Equivalence Of Owned Home	Owners' Equivalent Rent Of Primary Residence	I	false
910105	HC090	Rent Equiv Vac Home Not Avail Rnt	Unsampled Owners' Equivalent Rent Of Secondary Residence	I	false
910106	HC090	Rent Equiv Vac Home Avail For Rnt	Unsampled Owners' Equivalent Rent Of Secondary Residence	I	false
910107	HC090	Rental Equivalence For Timeshares	Unsampled Owners' Equivalent Rent Of Secondary Residence	I	false
