ucc	eli	ucc_title	eli_title	ce_source	multi_eli_footnote
230142	HP041	Repair-Displ/Dwshr/Rang Hd Ownd	Appliance Repair	D	false
230150	HP043	Rep/Maint Labor/Mat Rntr	Inside Home Maintenance And Repair Services	I	false
240111	HM011	Paint/Wallpaper And Supp Rntr	Paint, Wallpaper Tools And Supplies	I	false
240112	HM011	Paint/Wallpaper And Supp Ownd	Paint, Wallpaper Tools And Supplies	I	false
240121	HM011	Equip For Paint/Wpaper Rntr	Paint, Wallpaper Tools And Supplies	I	false
240122	HM011	Equip For Paint/Wpaper Ownd	Paint, Wallpaper Tools And Supplies	I	false
240211	HM090	Mat For Panl/Roof/Siding,Etc Rntr	Unsampled Tools, Hardware, Outdoor Equipment, And Supplies	I	false
240212	HM090	Mat For Panel/Siding, Etc Ownd	Unsampled Tools, Hardware, Outdoor Equipment, And Supplies	I	false
240221	HM090	Mat For Patio,Masonry,Etc Rntr	Unsampled Tools, Hardware, Outdoor Equipment, And Supplies	I	false
240222	HM090	Mat For Patio,Masonry,Etc Ownd	Unsampled Tools, Hardware, Outdoor Equipment, And Supplies	I	false
240311	HM090	Plumbing Supp/Equip Rntr	Unsampled Tools, Hardware, Outdoor Equipment, And Supplies	I	false
240312	HM090	Plumbing Supp/Equip Ownd	Unsampled Tools, Hardware, Outdoor Equipment, And Supplies	I	false
240321	HM090	Elec Supp, Heat/Cool Equip Rntr	Unsampled Tools, Hardware, Outdoor Equipment, And Supplies	I	false
240322	HM090	Elec Supp,Heat/Cool Equip Ownd	Unsampled Tools, Hardware, Outdoor Equipment, And Supplies	I	false
250111	HE011	Fuel Oil Rntr	Fuel Oil	I	false
250112	HE011	Fuel Oil Ownd	Fuel Oil	I	false
250113	HE011	Fuel Oil Ownv	Fuel Oil	I	false
250114	HE011	Fuel Oil Rntv	Fuel Oil	I	false
250211	HE021	Gas, Bottled Or Tank Rntr	Other Household Fuels	I	false
250212	HE021	Gas, Bottled Or Tank Ownd	Other Household Fuels	I	false
250213	HE021	Gas,Bottled Or Tank - Ownv & Rvs	Other Household Fuels	I	false
250214	HE021	Gas, Bottled Or Tank Rntv	Other Household Fuels	I	false
250911	HE021	Other Fuels Rntr	Other Household Fuels	I	false
250912	HE021	Other Fuels Ownd	Other Household Fuels	I	false
250913	HE021	Other Fuels Ownv	Other Household Fuels	I	false
250914	HE021	Other Fuels Rntv	Other Household Fuels	I	false
260111	HF011	Electricity Rntr	Electricity	I	false
260112	HF011	Electricity Ownd	Electricity	I	false
260113	HF011	Electricity Ownv	Electricity	I	false
260114	HF011	Electricity Rntv	Electricity	I	false
260211	HF021	Utility--Natural Gas Rntr	Utility (Piped) Gas Service	I	false
260212	HF021	Utility--Natural Gas Ownd	Utility (Piped) Gas Service	I	false
260213	HF021	Utility--Natural Gas Ownv	Utility (Piped) Gas Service	I	false
260214	HF021	Utility--Natural Gas Rntv	Utility (Piped) Gas Service	I	false
270102	ED031	Cellular Phone Service	Wireless Phone Service	I	true
270102	EE041	Cellular Phone Service	Phones, Accessories, And Smartwatches	I	true
270106	ED041	Residential Telephone Incl Voip	Residential telephone services	I	false
270211	HG011	Water And Sewerage Maint Rntr	Residential Water And Sewerage Service	I	false
270212	HG011	Water And Sewerage Maint Ownd	Residential Water And Sewerage Service	I	false
